Last updated: 2025-10-23 08:16
Bitcoin: 3QjWqhQbHdHgWeYHTpmorP8Pe1wgDjJy54


ETH address: 0x01d23570c34A78380452A4BE9C95bAe439719bAf


+------+-------------------------------------+-------------+
|      | github_username                     |   CVE_count |
|------+-------------------------------------+-------------|
|    0 | RandomRobbieBF                      |         179 |
|    1 | shoucheng3                          |         146 |
|    2 | Nxploited                           |         114 |
|    3 | Trinadh465                          |         114 |
|    4 | Chocapikk                           |          64 |
|    5 | mbadanoiu                           |          62 |
|    6 | jas502n                             |          56 |
|    7 | 5l1v3r1                             |          54 |
|    8 | nanopathi                           |          53 |
|    9 | trhacknon                           |          50 |
|   10 | B1ack4sh                            |          50 |
|   11 | uthrasri                            |          49 |
|   12 | Satheesh575555                      |          49 |
|   13 | hheeyywweellccoommee                |          48 |
|   14 | miguelc49                           |          46 |
|   15 | cved-sources                        |          43 |
|   16 | alt3kx                              |          43 |
|   17 | Al1ex                               |          42 |
|   18 | nidhi7598                           |          41 |
|   19 | ASR511-OO7                          |          40 |
|   20 | hshivhare67                         |          40 |
|   21 | Cappricio-Securities                |          39 |
|   22 | sromanhu                            |          39 |
|   23 | Vulnmachines                        |          38 |
|   24 | XiaomingX                           |          38 |
|   25 | SpiralBL0CK                         |          34 |
|   26 | geraldoalcantara                    |          34 |
|   27 | K3ysTr0K3R                          |          34 |
|   28 | rxerium                             |          31 |
|   29 | horizon3ai                          |          30 |
|   30 | ShaikUsaf                           |          30 |
|   31 | plsanu                              |          30 |
|   32 | byteReaper77                        |          29 |
|   33 | d0rb                                |          26 |
|   34 | murataydemir                        |          25 |
|   35 | n3rdh4x0r                           |          25 |
|   36 | watchtowrlabs                       |          25 |
|   37 | jakabakos                           |          25 |
|   38 | h3xcr4ck3r                          |          24 |
|   39 | Sp3c73rSh4d0w                       |          24 |
|   40 | 0xwh1pl4sh                          |          24 |
|   41 | CrackerCat                          |          24 |
|   42 | h3x0v3rl0rd                         |          24 |
|   43 | N3rdyN3xus                          |          24 |
|   44 | codeb0ss                            |          24 |
|   45 | gmh5225                             |          23 |
|   46 | c0d3cr4f73r                         |          23 |
|   47 | homjxi0e                            |          23 |
|   48 | actuator                            |          22 |
|   49 | knqyf263                            |          22 |
|   50 | pazhanivel07                        |          22 |
|   51 | moften                              |          22 |
|   52 | ianxtianxt                          |          22 |
|   53 | corelight                           |          21 |
|   54 | jet-pentest                         |          21 |
|   55 | tafamace                            |          21 |
|   56 | puckiestyle                         |          21 |
|   57 | tucommenceapousser                  |          21 |
|   58 | c1ph3rm4st3r                        |          20 |
|   59 | crypticdante                        |          20 |
|   60 | likescam                            |          20 |
|   61 | EQSTLab                             |          20 |
|   62 | likekabin                           |          20 |
|   63 | H3xL00m                             |          20 |
|   64 | n3ov4n1sh                           |          20 |
|   65 | truonghuuphuc                       |          19 |
|   66 | absholi7ly                          |          18 |
|   67 | Mr-xn                               |          18 |
|   68 | mpgn                                |          18 |
|   69 | zgimszhd61                          |          18 |
|   70 | sahiloj                             |          18 |
|   71 | bigzooooz                           |          17 |
|   72 | synacktiv                           |          17 |
|   73 | nitipoom-jar                        |          16 |
|   74 | mrk336                              |          16 |
|   75 | bigb0x                              |          16 |
|   76 | geniuszly                           |          16 |
|   77 | Malwareman007                       |          16 |
|   78 | mind2hex                            |          16 |
|   79 | geniuszlyy                          |          16 |
|   80 | 3yujw7njai                          |          15 |
|   81 | tpdlshdmlrkfmcla                    |          15 |
|   82 | AiK1d                               |          15 |
|   83 | ThatNotEasy                         |          15 |
|   84 | kh4sh3i                             |          15 |
|   85 | iveresk                             |          15 |
|   86 | P4x1s                               |          15 |
|   87 | r0otk3r                             |          15 |
|   88 | W01fh4cker                          |          15 |
|   89 | d0n601                              |          15 |
|   90 | jra89                               |          15 |
|   91 | user20252228                        |          15 |
|   92 | gh-ost00                            |          15 |
|   93 | mightysai1997                       |          14 |
|   94 | MuhammadWaseem29                    |          14 |
|   95 | bypazs                              |          14 |
|   96 | asepsaepdin                         |          14 |
|   97 | afine-com                           |          14 |
|   98 | CKevens                             |          14 |
|   99 | ahrixia                             |          14 |
|  100 | 0x00-0x00                           |          14 |
|  101 | sajaljat                            |          14 |
|  102 | fa-rrel                             |          14 |
|  103 | bb33bb                              |          14 |
|  104 | timb-machine-mirrors                |          14 |
|  105 | verylazytech                        |          14 |
|  106 | ZephrFish                           |          14 |
|  107 | Abdurahmon3236                      |          14 |
|  108 | bazad                               |          13 |
|  109 | Jenderal92                          |          13 |
|  110 | dorkerdevil                         |          13 |
|  111 | Udyz                                |          13 |
|  112 | ibrahmsql                           |          13 |
|  113 | huzaifahussain98                    |          13 |
|  114 | 0xgh057r3c0n                        |          13 |
|  115 | 10cks                               |          13 |
|  116 | Halcy0nic                           |          13 |
|  117 | Yucaerin                            |          13 |
|  118 | sudoninja-noob                      |          13 |
|  119 | rvizx                               |          13 |
|  120 | trustcves                           |          13 |
|  121 | cyberharsh                          |          13 |
|  122 | iSee857                             |          13 |
|  123 | abrewer251                          |          13 |
|  124 | KTN1990                             |          12 |
|  125 | becrevex                            |          12 |
|  126 | Yuri08loveElaina                    |          12 |
|  127 | imbas007                            |          12 |
|  128 | ColdFusionX                         |          12 |
|  129 | hadrian3689                         |          12 |
|  130 | Jeromeyoung                         |          12 |
|  131 | ludy-dev                            |          12 |
|  132 | orangmuda                           |          12 |
|  133 | p0dalirius                          |          11 |
|  134 | DoTTak                              |          11 |
|  135 | yashpatelphd                        |          11 |
|  136 | k4u5h41                             |          11 |
|  137 | TraiLeR2                            |          11 |
|  138 | G01d3nW01f                          |          11 |
|  139 | BurakSevben                         |          11 |
|  140 | windz3r0day                         |          11 |
|  141 | dwisiswant0                         |          11 |
|  142 | epicosy                             |          11 |
|  143 | m3ssap0                             |          11 |
|  144 | motikan2010                         |          11 |
|  145 | twseptian                           |          11 |
|  146 | WhiteOwl-Pub                        |          11 |
|  147 | issamjr                             |          11 |
|  148 | sinsinology                         |          11 |
|  149 | mhaskar                             |          11 |
|  150 | Praison001                          |          11 |
|  151 | SystemVll                           |          11 |
|  152 | Mesh3l911                           |          11 |
|  153 | passwa11                            |          11 |
|  154 | 0xDTC                               |          11 |
|  155 | b0marek                             |          10 |
|  156 | brianwrf                            |          10 |
|  157 | ZZ-SOCMAP                           |          10 |
|  158 | nanaao                              |          10 |
|  159 | mr-won                              |          10 |
|  160 | mr-r3b00t                           |          10 |
|  161 | cuijiung                            |          10 |
|  162 | AgainstTheLight                     |          10 |
|  163 | hev0x                               |          10 |
|  164 | mistymntncop                        |          10 |
|  165 | adhikara13                          |          10 |
|  166 | marcinguy                           |          10 |
